sourceid-year-oa,source_id,source_title,journal_name,issn_print,issn_e,parent_publisher,oa_status,pub_year,n_doi,apc_lower_total,apc_lower,apc_lower_source,apc_upper_total,apc_upper,apc_upper_source,notes
4232_2018_hybrid,4232,Cancer Cell,Cancer Cell,1535-6108,1878-3686,Elsevier,hybrid,2018,18,93600,5200,Matthias: actual,93600,5200,Matthias: actual,
4391_2018_hybrid,4391,Cell,Cell,0092-8674,1097-4172,Elsevier,hybrid,2018,67,348400,5200,Matthias: actual,348400,5200,Matthias: actual,
4406_2018_hybrid,4406,Cell Chemical Biology,Cell Chemical Biology,2451-9448,NULL,Elsevier,hybrid,2018,14,72800,5200,Matthias: actual,72800,5200,Matthias: actual,
4419_2018_hybrid,4419,Cell Host & Microbe,Cell Host & Microbe,1931-3128,1934-6069,Elsevier,hybrid,2018,18,93600,5200,Matthias: actual,93600,5200,Matthias: actual,
4422_2018_hybrid,4422,Cell Metabolism,Cell Metabolism,1550-4131,1932-7420,Elsevier,hybrid,2018,14,72800,5200,Matthias: actual,72800,5200,Matthias: actual,
4430_2018_hybrid,4430,Cell Stem Cell,Cell Stem Cell,1934-5909,1875-9777,Elsevier,hybrid,2018,13,67600,5200,Matthias: actual,67600,5200,Matthias: actual,
4434_2018_hybrid,4434,Cell Systems,Cell Systems,2405-4712,2405-4720,Elsevier,hybrid,2018,50,260000,5200,Matthias: actual,260000,5200,Matthias: actual,
4561_2018_hybrid,4561,Chem,Chem,2451-9294,NULL,Elsevier,hybrid,2018,5,26000,5200,IWM: actual,26000,5200,IWM: actual,"http://web.archive.org/web/20181120134132/https://www.cell.com/joule/authors, http://web.archive.org/web/20190702014533/https://www.cell.com/rights-sharing-embargoes"
6102_2018_hybrid,6102,Current Biology,Current Biology,0960-9822,1879-0445,Elsevier,hybrid,2018,116,603200,5200,Matthias: actual,603200,5200,Matthias: actual,
6498_2018_hybrid,6498,Developmental Cell,Developmental Cell,1534-5807,1878-1551,Elsevier,hybrid,2018,33,171600,5200,Matthias: actual,171600,5200,Matthias: actual,
10716_2018_hybrid,10716,Immunity,Immunity,1074-7613,1097-4180,Elsevier,hybrid,2018,22,114400,5200,Matthias: actual,114400,5200,Matthias: actual,
12939_2018_hybrid,12939,Joule,Joule,2542-4351,NULL,Elsevier,hybrid,2018,5,26000,5200,IWM: actual,26000,5200,IWM: actual,http://web.archive.org/web/20181120134132/https://www.cell.com/joule/authors
17700_2018_hybrid,17700,Molecular Cell,Molecular Cell,1097-2765,1097-4164,Elsevier,hybrid,2018,46,239200,5200,Matthias: actual,239200,5200,Matthias: actual,
18108_2015_gold,18108,Nature Communications,Nature Communications,2041-1723,NULL,Springer-Nature,gold,2015,3201,16645200,5200,Matthias: actual,16645200,5200,Matthias: actual,
18305_2018_hybrid,18305,Neuron,Neuron,0896-6273,1097-4199,Elsevier,hybrid,2018,42,218400,5200,Matthias: actual,218400,5200,Matthias: actual,
