sourceid-year-oa,source_id,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
18108_2015_gold,18108,Springer-Nature,2015,gold,NATURAL SCIENCES,3201,5200,16645200
6102_2018_hybrid,6102,Elsevier,2018,hybrid,NATURAL SCIENCES,116,5200,603200
4391_2018_hybrid,4391,Elsevier,2018,hybrid,NATURAL SCIENCES,67,5200,348400
4434_2018_hybrid,4434,Elsevier,2018,hybrid,NATURAL SCIENCES,50,5200,260000
17700_2018_hybrid,17700,Elsevier,2018,hybrid,NATURAL SCIENCES,46,5200,239200
18305_2018_hybrid,18305,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,42,5200,218400
6498_2018_hybrid,6498,Elsevier,2018,hybrid,NATURAL SCIENCES,33,5200,171600
10716_2018_hybrid,10716,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,23,5200,119600
23563_2018_hybrid,23563,Elsevier,2018,hybrid,NATURAL SCIENCES,21,5200,109200
4406_2018_hybrid,4406,Elsevier,2018,hybrid,NATURAL SCIENCES,14,5200,72800
4419_2018_hybrid,4419,Elsevier,2018,hybrid,NATURAL SCIENCES,12,5200,62400
4232_2018_hybrid,4232,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,10,5200,52000
4232_2018_hybrid,4232,Elsevier,2018,hybrid,NATURAL SCIENCES,9,5200,46800
4422_2018_hybrid,4422,Elsevier,2018,hybrid,NATURAL SCIENCES,7,5200,36400
4422_2018_hybrid,4422,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,7,5200,36400
4430_2018_hybrid,4430,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,6.5,5200,33800
4430_2018_hybrid,4430,Elsevier,2018,hybrid,NATURAL SCIENCES,6.5,5200,33800
4419_2018_hybrid,4419,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,6,5200,31200
4561_2018_hybrid,4561,Elsevier,2018,hybrid,NATURAL SCIENCES,5,5200,26000
12939_2018_hybrid,12939,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,3.333333333,5200,17333.33333
12939_2018_hybrid,12939,Elsevier,2018,hybrid,NATURAL SCIENCES,1.666666667,5200,8666.666667
4428_2018_gold,4428,Elsevier,2018,gold,NATURAL SCIENCES,1256,5000,6280000
4428_2015_gold,4428,Elsevier,2015,gold,NATURAL SCIENCES,803,5000,4015000
556_2018_gold,556,Wiley,2018,gold,ENGINEERING AND TECHNOLOGY,258.6666667,5000,1293333.333
556_2018_gold,556,Wiley,2018,gold,NATURAL SCIENCES,129.3333333,5000,646666.6667
556_2017_gold,556,Wiley,2017,gold,ENGINEERING AND TECHNOLOGY,128.6666667,5000,643333.3333
6102_2017_hybrid,6102,Elsevier,2017,hybrid,NATURAL SCIENCES,97,5000,485000
16223_2018_gold,16223,Elsevier,2018,gold,MEDICAL AND HEALTH SCIENCES,91,5000,455000
16223_2017_gold,16223,Elsevier,2017,gold,MEDICAL AND HEALTH SCIENCES,84,5000,420000
6102_2015_hybrid,6102,Elsevier,2015,hybrid,NATURAL SCIENCES,77,5000,385000
6102_2016_hybrid,6102,Elsevier,2016,hybrid,NATURAL SCIENCES,68,5000,340000
16219_2018_hybrid,16219,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,66,5000,330000
556_2017_gold,556,Wiley,2017,gold,NATURAL SCIENCES,64.33333333,5000,321666.6667
16223_2016_gold,16223,Elsevier,2016,gold,MEDICAL AND HEALTH SCIENCES,62,5000,310000
4391_2016_hybrid,4391,Elsevier,2016,hybrid,NATURAL SCIENCES,57,5000,285000
17700_2016_hybrid,17700,Elsevier,2016,hybrid,NATURAL SCIENCES,54,5000,270000
16219_2017_hybrid,16219,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,53.5,5000,267500
16219_2016_hybrid,16219,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,44,5000,220000
4391_2017_hybrid,4391,Elsevier,2017,hybrid,NATURAL SCIENCES,44,5000,220000
17700_2017_hybrid,17700,Elsevier,2017,hybrid,NATURAL SCIENCES,43,5000,215000
4434_2017_hybrid,4434,Elsevier,2017,hybrid,NATURAL SCIENCES,42,5000,210000
18305_2016_hybrid,18305,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,40,5000,200000
544_2018_hybrid,544,Wiley,2018,hybrid,NATURAL SCIENCES,39.33333333,5000,196666.6667
17700_2015_hybrid,17700,Elsevier,2015,hybrid,NATURAL SCIENCES,35,5000,175000
4391_2015_hybrid,4391,Elsevier,2015,hybrid,NATURAL SCIENCES,35,5000,175000
18305_2017_hybrid,18305,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,33,5000,165000
16226_2017_hybrid,16226,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,31,5000,155000
23563_2015_hybrid,23563,Elsevier,2015,hybrid,NATURAL SCIENCES,30,5000,150000
18305_2015_hybrid,18305,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,30,5000,150000
16226_2018_hybrid,16226,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,29,5000,145000
16219_2015_hybrid,16219,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,29,5000,145000
6498_2016_hybrid,6498,Elsevier,2016,hybrid,NATURAL SCIENCES,29,5000,145000
544_2015_hybrid,544,Wiley,2015,hybrid,NATURAL SCIENCES,28.66666667,5000,143333.3333
4434_2016_hybrid,4434,Elsevier,2016,hybrid,NATURAL SCIENCES,28,5000,140000
1327_2017_hybrid,1327,Elsevier,2017,hybrid,NATURAL SCIENCES,28,5000,140000
1327_2018_hybrid,1327,Elsevier,2018,hybrid,NATURAL SCIENCES,26,5000,130000
544_2017_hybrid,544,Wiley,2017,hybrid,NATURAL SCIENCES,25.33333333,5000,126666.6667
16226_2016_hybrid,16226,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,24,5000,120000
544_2016_hybrid,544,Wiley,2016,hybrid,NATURAL SCIENCES,24,5000,120000
8131_2016_hybrid,8131,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,23,5000,115000
538_2018_hybrid,538,Wiley,2018,hybrid,NATURAL SCIENCES,20.66666667,5000,103333.3333
8131_2018_hybrid,8131,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,20,5000,100000
23563_2017_hybrid,23563,Elsevier,2017,hybrid,NATURAL SCIENCES,20,5000,100000
544_2018_hybrid,544,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,19.66666667,5000,98333.33333
6498_2017_hybrid,6498,Elsevier,2017,hybrid,NATURAL SCIENCES,19,5000,95000
8131_2017_hybrid,8131,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,19,5000,95000
538_2016_hybrid,538,Wiley,2016,hybrid,NATURAL SCIENCES,18,5000,90000
23563_2016_hybrid,23563,Elsevier,2016,hybrid,NATURAL SCIENCES,18,5000,90000
6498_2015_hybrid,6498,Elsevier,2015,hybrid,NATURAL SCIENCES,18,5000,90000
10716_2017_hybrid,10716,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,17,5000,85000
4406_2017_hybrid,4406,Elsevier,2017,hybrid,NATURAL SCIENCES,17,5000,85000
10716_2016_hybrid,10716,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,17,5000,85000
538_2017_hybrid,538,Wiley,2017,hybrid,NATURAL SCIENCES,16.66666667,5000,83333.33333
10716_2015_hybrid,10716,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,16,5000,80000
16229_2018_hybrid,16229,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,15,5000,75000
